Contestant,Series,Round,Strength_Score,Result
Kate,5,1,6.85,Neutral Review
Peter,5,1,3.09,Eliminated
Tom,5,1,4.96,Neutral Review
Julia,5,1,4.57,Neutral Review
Flo,5,1,8.05,Positive Review
Chris,5,1,3.46,Negative Review
Liam,5,1,6.54,Neutral Review
Yan,5,1,6.97,Neutral Review
Steven,5,1,8.98,Winner
Stacey,5,1,4.66,Negative Review
James,5,1,4.18,Neutral Review
Sophie,5,1,7.84,Positive Review
Kate,5,2,2.58,Negative Review
Tom,5,2,7.38,Positive Review
Julia,5,2,5.88,Neutral Review
Flo,5,2,3.35,Negative Review
Chris,5,2,3.34,Eliminated
Liam,5,2,5.66,Neutral Review
Yan,5,2,5.11,Neutral Review
Steven,5,2,7.99,Winner
Stacey,5,2,4.87,Negative Review
James,5,2,7.7,Neutral Review
Sophie,5,2,9.3,Positive Review
Kate,5,3,5.61,Neutral Review
Tom,5,3,5.57,Neutral Review
Julia,5,3,8.33,Winner
Flo,5,3,3.89,Eliminated
Liam,5,3,3.47,Negative Review
Yan,5,3,3.94,Neutral Review
Steven,5,3,7.01,Positive Review
Stacey,5,3,6.69,Neutral Review
James,5,3,5.5,Neutral Review
Sophie,5,3,4.63,Neutral Review
Kate,5,4,8.25,Winner
Tom,5,4,2.24,Eliminated
Julia,5,4,6.18,Neutral Review
Liam,5,4,9.38,Positive Review
Yan,5,4,5.56,Neutral Review
Steven,5,4,4.38,Neutral Review
Stacey,5,4,7.87,Neutral Review
James,5,4,4.26,Negative Review
Sophie,5,4,6.86,Neutral Review
Kate,5,5,6.25,Neutral Review
Julia,5,5,4.95,Negative Review
Liam,5,5,4.2,Negative Review
Yan,5,5,7.14,Neutral Review
Steven,5,5,7.42,Neutral Review
Stacey,5,5,9.03,Positive Review
James,5,5,3.44,Eliminated
Sophie,5,5,7.6,Winner
Kate,5,6,5.97,Neutral Review
Julia,5,6,1.02,Eliminated
Liam,5,6,6.73,Winner
Yan,5,6,7.3,Positive Review
Steven,5,6,5.95,Neutral Review
Stacey,5,6,3.03,Negative Review
Sophie,5,6,9.16,Positive Review
Kate,5,7,3.61,Negative Review
Liam,5,7,8.66,Positive Review
Yan,5,7,4.46,Eliminated
Steven,5,7,9.5,Winner
Stacey,5,7,3.83,Negative Review
Sophie,5,7,8.7,Positive Review
Kate,5,8,3.67,Negative Review
Liam,5,8,1.83,Eliminated
Steven,5,8,8.33,Positive Review
Stacey,5,8,8.88,Winner
Sophie,5,8,6.32,Neutral Review
Kate,5,9,6.62,Positive Review
Steven,5,9,3.18,Negative Review
Stacey,5,9,5.12,Eliminated
Sophie,5,9,7.74,Winner
Kate,5,10,7.5,Neutral Review
Steven,5,10,4.51,Neutral Review
Sophie,5,10,7.63,Winner
Antony,6,1,7.5,Neutral Review
Karen,6,1,5.78,Neutral Review
Kim-Joy,6,1,6.35,Neutral Review
Jon,6,1,4.8,Neutral Review
Manon,6,1,9.13,Winner
Rahul,6,1,7.82,Neutral Review
Ruby,6,1,3.16,Negative Review
Dan,6,1,7.06,Neutral Review
Terry,6,1,6.15,Negative Review
Luke,6,1,6.32,Neutral Review
Imelda,6,1,2.88,Eliminated
Briony,6,1,7.6,Positive Review
Antony,6,2,4.5,Neutral Review
Karen,6,2,6.33,Neutral Review
Kim-Joy,6,2,6.72,Neutral Review
Jon,6,2,9.35,Positive Review
Manon,6,2,6.82,Neutral Review
Rahul,6,2,9.41,Winner
Ruby,6,2,6.64,Neutral Review
Dan,6,2,9.48,Positive Review
Terry,6,2,5.22,Negative Review
