Series,Contestant,Strength,Signature_Handshakes,Showstopper_Handshakes,Positive_Reviews,Negative_Reviews,Star_Baker_Wins,Result,Strongest_Performance,Strongest_Round,Weakest_Performance,Weakest_Round,Strength_Variance
13,Aaron,6.04,0,0,3,4,1,finalist,8.49,5,4.06,10,1.61
11,Abbi,7.04,0,0,1,1,0,R3 elimination,9.13,1,3.32,3,10.45
10,Abdul,6.43,0,0,2,0,1,finalist,7.81,9,4.52,10,1.42
7,Alice,7.02,0,0,4,1,2,finalist,9.5,2,4.52,8,2.53
9,Amanda,4.4,0,0,0,4,0,R6 elimination,7.52,3,1.97,1,4.92
7,Amelia,3.29,0,0,0,2,0,R3 elimination,5.08,1,2.13,3,2.47
11,Amos,3.64,0,0,0,1,0,R1 elimination,3.64,1,3.64,1,
12,Andy,5.42,0,0,0,2,0,R5 elimination,6.84,4,2.61,5,3.09
6,Antony,5.34,0,0,0,1,0,R3 elimination,7.5,1,4.02,3,3.56
6,Briony,5.5,0,0,3,5,1,semifinalist,7.63,6,1.9,3,3.74
10,Carole,4.86,0,0,0,4,0,R5 elimination,5.86,1,3.87,3,0.96
9,Chigs,7.52,2,0,5,0,2,finalist,9.38,4,5.76,7,1.51
5,Chris,3.4,0,0,0,2,0,R2 elimination,3.46,1,3.34,2,0.01
12,Christiaan,6.94,0,1,2,2,1,finalist,8.1,2,5.1,1,1.04
11,Cristy,6.86,1,0,3,3,1,quarterfinalist,8.88,5,4.41,7,3.19
9,Crystelle,7.56,1,1,4,1,2,finalist,8.55,9,6.72,10,0.3
6,Dan,7.09,3,0,3,1,1,R6 elimination,9.48,2,4.83,5,3.66
7,Dan,3.9,0,0,0,1,0,R1 elimination,3.9,1,3.9,1,
11,Dan,6.35,1,0,4,2,2,finalist,9.5,1,2.19,3,4.47
11,Dana,4.17,0,0,0,3,0,R6 elimination,5.8,2,1.9,1,2.06
8,Dave,6.89,0,1,4,1,1,finalist,9.5,2,4.48,7,2.68
7,David,6.97,1,0,6,1,0,Champion,9.27,4,4.28,3,3.61
10,Dawn,5.44,1,0,0,3,0,R6 elimination,8.62,1,1.6,6,8.42
12,Dylan,7.14,3,0,5,1,2,finalist,9.88,7,3.1,10,3.39
5,Flo,5.1,0,0,1,2,0,R3 elimination,8.05,1,3.35,2,6.61
9,Freya,6.22,0,0,1,2,0,R5 elimination,8.32,3,3.37,4,6.77
9,George,5.13,0,0,0,4,0,R7 elimination,7.08,2,1.96,4,2.77
12,Georgie,7.06,0,0,5,2,2,Champion,9.06,8,2.77,2,3.22
12,Gill,7.48,0,0,2,3,1,semifinalist,8.9,2,5.9,8,0.61
9,Giuseppe,7.9,2,0,7,1,2,Champion,9.88,3,5.94,8,1.77
13,Hassan,3.78,0,0,0,1,0,R1 elimination,3.78,1,3.78,1,
12,Hazel,3.26,0,0,0,2,0,R2 elimination,3.44,2,3.08,1,0.06
7,Helena,5.4,0,0,0,1,0,R5 elimination,7.72,4,1.84,3,4.76
7,Henry,5.94,1,0,2,3,1,quarterfinalist,9.08,7,2.7,8,3.96
8,Hermine,6.69,1,0,4,2,2,semifinalist,8.77,1,4.28,2,3.2
13,Iain,6.03,0,0,0,4,0,quarterfinalist,7.79,5,3.15,3,2.42
12,Illiyin,6.46,1,0,0,4,0,quarterfinalist,8.32,3,3.96,8,2.01
6,Imelda,2.88,0,0,0,1,0,R1 elimination,2.88,1,2.88,1,
9,Jairzeno,4.81,0,0,0,2,0,R2 elimination,5.25,1,4.37,2,0.39
5,James,5.02,0,0,0,2,0,R5 elimination,7.7,2,3.44,5,2.8
10,James,6.72,0,0,1,1,0,R4 elimination,9.3,2,5.0,4,4.17
7,Jamie,3.61,0,0,0,2,0,R2 elimination,4.15,2,3.07,1,0.58
10,Janusz,6.91,0,0,5,2,2,semifinalist,8.41,1,5.09,9,1.57
13,Jasmine,8.07,0,1,9,0,5,Champion,9.5,4,5.63,1,1.37
13,Jessika,5.65,0,0,1,1,0,R4 elimination,7.93,1,2.33,4,5.83
12,John,7.37,0,0,1,1,1,R3 elimination,8.58,1,6.2,3,1.42
6,Jon,6.04,1,0,2,2,0,R7 elimination,9.35,2,3.48,7,5.43
11,Josh,7.19,0,1,7,0,2,finalist,9.16,6,3.21,4,3.37
5,Julia,5.16,0,0,1,2,1,R6 elimination,8.33,3,1.02,6,5.83
9,Jurgen,7.85,1,0,6,1,3,semifinalist,9.5,2,5.61,3,1.4
6,Karen,5.03,0,0,0,2,0,R5 elimination,6.33,2,2.56,5,2.17
5,Kate,5.69,0,0,2,3,1,finalist,8.25,4,2.58,2,3.39
11,Keith,6.17,0,0,1,1,0,R2 elimination,7.18,1,5.16,2,2.04
10,Kevin,5.37,0,0,0,3,0,R7 elimination,7.2,1,3.65,6,1.13
