Contestant,Series,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner,Eliminated
Kate,5,1,0,-1,-1,,1,,1,1,0,,,,
Peter,5,1,-1,-1,0,,10,,-1,1,-1,,-1,,1
Tom,5,1,-1,0,1,,7,,0,1,-1,,,,
Julia,5,1,-1,0,0,,3,,-1,-1,1,,,,
Flo,5,1,1,1,1,,9,,1,1,1,,1,,
Chris,5,1,0,1,0,,12,,-1,1,-1,,-1,,
Liam,5,1,-1,-1,0,,8,,1,1,1,,,,
Yan,5,1,1,0,0,,4,,-1,1,1,,,,
Steven,5,1,1,1,1,1,6,,1,1,1,,1,1,
Stacey,5,1,0,-1,0,,11,,1,1,-1,,-1,,
James,5,1,-1,0,-1,,2,,-1,1,-1,,,,
Sophie,5,1,1,1,1,1,5,,-1,1,1,,1,,
Kate,5,2,-1,1,-1,,8,,-1,-1,-1,,-1,,
Tom,5,2,1,1,1,,5,,-1,1,1,,1,,
Julia,5,2,0,-1,0,,4,,1,1,-1,,,,
Flo,5,2,-1,1,1,,10,,1,-1,-1,,-1,,
Chris,5,2,0,0,0,,11,,-1,0,0,,-1,,1
Liam,5,2,-1,1,1,,7,,1,1,-1,,,,
Yan,5,2,0,1,1,,1,,-1,0,-1,,,,
Steven,5,2,1,1,-1,,6,,1,1,1,,1,1,
Stacey,5,2,1,1,1,,9,,-1,-1,1,,-1,,
James,5,2,1,1,0,,3,,1,1,1,,,,
Sophie,5,2,1,1,1,,2,,1,1,1,,1,,
Kate,5,3,-1,1,-1,,10,,1,1,1,,,,
Tom,5,3,1,1,1,,4,1,0,-1,0,,,,
Julia,5,3,0,1,0,,2,1,1,1,1,,1,1,
Flo,5,3,-1,-1,0,,7,-1,1,-1,0,,-1,,1
Liam,5,3,-1,0,-1,,5,-1,-1,1,-1,,-1,,
Yan,5,3,-1,1,0,,8,,1,0,-1,,,,
Steven,5,3,-1,0,-1,,3,-1,1,1,1,,1,,
Stacey,5,3,0,0,0,,1,1,1,-1,1,,,,
James,5,3,1,1,0,,9,,1,-1,1,,,,
Sophie,5,3,1,0,0,,6,,-1,1,-1,,,,
