Series,Episode,Title,Parsed_Theme
5,1,Cakes,Cake
5,2,Biscuits,Biscuits
5,3,Bread,Bread
5,4,Caramel,Caramel
5,5,Puddings,Ingredient
5,6,Pastry,Pastry
5,7,Italian,Ethnic
5,8,Forgotten Bakes,Temporal
5,9,Pâtisserie,Patisserie
5,10,Final,Final
6,1,Biscuits,Biscuits
6,2,Cakes,Cake
6,3,Bread,Bread
6,4,Desserts,Desserts
6,5,Spice,Ingredient
6,6,Pastry,Pastry
6,7,Vegan,Ingredient
6,8,Danish,Ethnic
6,9,Pâtisserie,Patisserie
6,10,Final,Final
7,1,Cake,Cake
7,2,Biscuits,Biscuits
7,3,Bread,Bread
7,4,Dairy,Ingredient
7,5,The Roaring Twenties,Temporal
7,6,Desserts,Desserts
7,7,Festivals,Celebration
7,8,Pastry,Pastry
7,9,Pâtisserie,Patisserie
7,10,Final,Final
8,1,Cake,Cake
8,2,Biscuits,Biscuits
8,3,Bread,Bread
8,4,Chocolate,Chocolate
8,5,Pastry,Pastry
8,6,Japanese,Ethnic
8,7,The '80s,Temporal
8,8,Desserts,Desserts
8,9,Pâtisserie,Patisserie
8,10,Final,Final
9,1,Cake,Cake
9,2,Biscuits,Biscuits
9,3,Bread,Bread
9,4,Desserts,Desserts
9,5,German,Ethnic
9,6,Pastry,Pastry
9,7,Caramel,Caramel
9,8,Free-from,Free-From
9,9,Pâtisserie,Patisserie
9,10,Final,Final
10,1,Cake,Cake
10,2,Biscuits,Biscuits
10,3,Bread,Bread
10,4,Mexican,Ethnic
10,5,Desserts,Desserts
10,6,Halloween,Celebration
10,7,Custard,Ingredient
10,8,Pastry,Pastry
10,9,Pâtisserie,Patisserie
10,10,Final,Final
11,1,Cake,Cake
11,2,Biscuits,Biscuits
11,3,Bread,Bread
11,4,Chocolate,Chocolate
11,5,Pastry,Pastry
11,6,Botanical,Botanical
11,7,Desserts,Desserts
11,8,Party,Celebration
11,9,Patisserie,Patisserie
11,10,Final,Final
12,1,Cake,Cake
12,2,Biscuits,Biscuits
12,3,Bread,Bread
12,4,Caramel,Caramel
12,5,Pastry,Pastry
12,6,Autumn,Temporal
12,7,Desserts,Desserts
12,8,The '70s,Temporal
12,9,Patisserie,Patisserie
12,10,Final,Final
