Series,Episode,Contestant,Result,Final Review,Winner,Eliminated,Technical_Rank
5,1,Sophie,HIGH,1,,,5.0
5,2,Sophie,HIGH,1,,,2.0
5,3,Sophie,SAFE,,,,6.0
5,4,Sophie,SAFE,,,,4.0
5,5,Sophie,SB,1,1,,1.0
5,6,Sophie,HIGH,1,,,2.0
5,7,Sophie,HIGH,1,,,3.0
5,8,Sophie,SAFE,,,,4.0
5,9,Sophie,SB,1,1,,1.0
5,10,Sophie,WINNER,,1,,2.0
5,1,Kate,SAFE,,,,1.0
5,2,Kate,LOW,-1,,,8.0
5,3,Kate,SAFE,,,,10.0
5,4,Kate,SB,1,1,,6.0
5,5,Kate,SAFE,,,,8.0
5,6,Kate,SAFE,,,,5.0
5,7,Kate,LOW,-1,,,6.0
5,8,Kate,LOW,-1,,,2.0
5,9,Kate,HIGH,1,,,4.0
5,10,Kate,RUNNER-UP,,,,3.0
5,1,Steven,SB,1,1,,6.0
5,2,Steven,SB,1,1,,6.0
5,3,Steven,HIGH,1,,,3.0
5,4,Steven,SAFE,,,,7.0
5,5,Steven,SAFE,,,,5.0
5,6,Steven,SAFE,,,,3.0
5,7,Steven,SB,1,1,,1.0
5,8,Steven,HIGH,1,,,1.0
5,9,Steven,LOW,-1,,,3.0
5,10,Steven,RUNNER-UP,,,,1.0
5,1,Stacey,LOW,-1,,,11.0
5,2,Stacey,LOW,-1,,,9.0
5,3,Stacey,SAFE,,,,1.0
5,4,Stacey,SAFE,,,,1.0
5,5,Stacey,HIGH,1,,,4.0
5,6,Stacey,LOW,-1,,,6.0
5,7,Stacey,LOW,-1,,,4.0
5,8,Stacey,SB,1,1,,3.0
5,9,Stacey,OUT,-1,,1,2.0
5,1,Liam,SAFE,,,,8.0
5,2,Liam,SAFE,,,,7.0
5,3,Liam,LOW,-1,,,5.0
5,4,Liam,HIGH,1,,,3.0
5,5,Liam,LOW,-1,,,2.0
5,6,Liam,SB,1,1,,4.0
5,7,Liam,HIGH,1,,,2.0
5,8,Liam,OUT,-1,,1,5.0
5,1,Yan,SAFE,,,,4.0
5,2,Yan,SAFE,,,,1.0
5,3,Yan,SAFE,,,,8.0
5,4,Yan,SAFE,,,,8.0
5,5,Yan,SAFE,,,,6.0
5,6,Yan,HIGH,1,,,1.0
5,7,Yan,OUT,-1,,1,5.0
5,1,Julia,SAFE,,,,3.0
5,2,Julia,SAFE,,,,4.0
5,3,Julia,SB,1,1,,2.0
5,4,Julia,SAFE,,,,9.0
5,5,Julia,LOW,-1,,,3.0
5,6,Julia,OUT,-1,,1,7.0
5,1,James,SAFE,,,,2.0
5,2,James,SAFE,,,,3.0
5,3,James,SAFE,,,,9.0
5,4,James,LOW,-1,,,2.0
5,5,James,OUT,-1,,1,7.0
5,1,Tom,SAFE,,,,7.0
5,2,Tom,HIGH,1,,,5.0
5,3,Tom,SAFE,,,,4.0
5,4,Tom,OUT,-1,,1,5.0
5,1,Flo,HIGH,1,,,9.0
5,2,Flo,LOW,-1,,,10.0
5,3,Flo,OUT,-1,,1,7.0
5,1,Chris,LOW,-1,,,12.0
5,2,Chris,OUT,-1,,1,11.0
5,1,Peter,OUT,-1,,1,10.0
6,1,Rahul,SAFE,,,,7.0
6,2,Rahul,SB,1,1,,2.0
6,3,Rahul,SB,1,1,,4.0
6,4,Rahul,HIGH,1,,,4.0
6,5,Rahul,HIGH,1,,,3.0
6,6,Rahul,HIGH,1,,,3.0
6,7,Rahul,HIGH,1,,,1.0
6,8,Rahul,LOW,-1,,,5.0
6,9,Rahul,LOW,-1,,,4.0
6,10,Rahul,WINNER,,1,,2.0
6,1,Kim-Joy,SAFE,,,,10.0
6,2,Kim-Joy,SAFE,,,,4.0
6,3,Kim-Joy,SAFE,,,,10.0
6,4,Kim-Joy,SAFE,,,,6.0
6,5,Kim-Joy,SB,1,1,,4.0
6,6,Kim-Joy,SAFE,,,,5.0
6,7,Kim-Joy,SB,1,1,,6.0
6,8,Kim-Joy,LOW,-1,,,2.0
6,9,Kim-Joy,HIGH,1,,,2.0
6,10,Kim-Joy,RUNNER-UP,,,,1.0
6,1,Ruby,LOW,-1,,,1.0
6,2,Ruby,SAFE,,,,10.0
6,3,Ruby,SAFE,,,,7.0
6,4,Ruby,SAFE,,,,2.0
6,5,Ruby,SAFE,,,,1.0
6,6,Ruby,HIGH,1,,,7.0
6,7,Ruby,LOW,-1,,,3.0
6,8,Ruby,SB,1,1,,3.0
6,9,Ruby,SB,1,1,,1.0
6,10,Ruby,RUNNER-UP,,,,3.0
6,1,Briony,HIGH,1,,,2.0
6,2,Briony,LOW,-1,,,5.0
6,3,Briony,LOW,-1,,,9.0
6,4,Briony,LOW,-1,,,5.0
6,5,Briony,LOW,-1,,,6.0
6,6,Briony,SB,1,1,,1.0
6,7,Briony,SAFE,,,,5.0
6,8,Briony,HIGH,1,,,1.0
6,9,Briony,OUT,-1,,1,3.0
6,1,Manon,SB,1,1,,3.0
6,2,Manon,SAFE,,,,6.0
6,3,Manon,SAFE,,,,3.0
6,4,Manon,SAFE,,,,8.0
6,5,Manon,HIGH,1,,,5.0
6,6,Manon,LOW,-1,,,4.0
6,7,Manon,SAFE,,,,2.0
6,8,Manon,OUT,-1,,1,4.0
6,1,Jon,SAFE,,,,5.0
6,2,Jon,HIGH,1,,,1.0
6,3,Jon,SAFE,,,,2.0
6,4,Jon,HIGH,1,,,3.0
6,5,Jon,LOW,-1,,,7.0
6,6,Jon,SAFE,,,,2.0
6,7,Jon,OUT,-1,,1,4.0
6,1,Dan,SAFE,,,,4.0
6,2,Dan,HIGH,1,,,3.0
6,3,Dan,HIGH,1,,,6.0
6,4,Dan,SB,1,1,,1.0
6,5,Dan,SAFE,,,,2.0
6,6,Dan,OUT,-1,,1,6.0
6,1,Karen,SAFE,,,,6.0
6,2,Karen,SAFE,,,,11.0
6,3,Karen,SAFE,,,,5.0
6,4,Karen,LOW,-1,,,7.0
6,5,Karen,OUT,-1,,1,9.0
6,1,Terry,LOW,-1,,,9.0
6,2,Terry,LOW,-1,,,8.0
6,3,Terry,SAFE,,,,1.0
6,4,Terry,SAFE,,,,
6,5,Terry,OUT,-1,,1,8.0
6,1,Antony,SAFE,,,,12.0
6,2,Antony,SAFE,,,,9.0
6,3,Antony,OUT,-1,,1,8.0
6,1,Luke,SAFE,,,,8.0
6,2,Luke,OUT,-1,,1,7.0
6,1,Imelda,OUT,-1,,1,11.0
7,1,David,SAFE,,,,10.0
7,2,David,HIGH,1,,,2.0
7,3,David,SAFE,,,,2.0
7,4,David,HIGH,1,,,2.0
7,5,David,HIGH,1,,,9.0
7,6,David,HIGH,1,,,2.0
7,7,David,HIGH,1,,,2.0
7,8,David,HIGH,1,,,1.0
7,9,David,LOW,-1,,,2.0
7,10,David,WINNER,,1,,1.0
7,1,Alice,SAFE,,,,5.0
7,2,Alice,SB,1,1,,1.0
7,3,Alice,LOW,-1,,,7.0
7,4,Alice,SAFE,,,,8.0
7,5,Alice,SAFE,,,,6.0
7,6,Alice,HIGH,1,,,1.0
7,7,Alice,SAFE,,,,6.0
7,8,Alice,SAFE,,,,3.0
7,9,Alice,SB,1,1,,4.0
7,10,Alice,RUNNER-UP,,,,2.0
7,1,Steph,HIGH,1,,,3.0
7,2,Steph,SAFE,,,,10.0
7,3,Steph,HIGH,1,,,3.0
7,4,Steph,SB,1,1,,1.0
7,5,Steph,SB,1,1,,4.0
7,6,Steph,SB,1,1,,3.0
7,7,Steph,HIGH,1,,,4.0
7,8,Steph,SB,1,1,,4.0
7,9,Steph,HIGH,1,,,3.0
7,10,Steph,RUNNER-UP,,,,3.0
7,1,Rosie,SAFE,,,,2.0
7,2,Rosie,HIGH,1,,,5.0
7,3,Rosie,SAFE,,,,9.0
7,4,Rosie,SAFE,,,,4.0
7,5,Rosie,LOW,-1,,,5.0
7,6,Rosie,LOW,-1,,,5.0
7,7,Rosie,LOW,-1,,,1.0
7,8,Rosie,LOW,-1,,,2.0
7,9,Rosie,OUT,-1,,1,1.0
7,1,Henry,SAFE,,,,1.0
7,2,Henry,SAFE,,,,6.0
7,3,Henry,LOW,-1,,,1.0
7,4,Henry,SAFE,,,,3.0
7,5,Henry,HIGH,1,,,3.0
7,6,Henry,LOW,-1,,,4.0
7,7,Henry,SB,1,1,,3.0
7,8,Henry,OUT,-1,,1,5.0
7,1,Michael,SAFE,,,,11.0
7,2,Michael,SAFE,,,,4.0
7,3,Michael,SB,1,1,,6.0
7,4,Michael,LOW,-1,,,7.0
7,5,Michael,SAFE,,,,8.0
7,6,Michael,LOW,-1,,,6.0
7,7,Michael,OUT,-1,,1,5.0
7,1,Priya,SAFE,,,,7.0
7,2,Priya,SAFE,,,,7.0
7,3,Priya,SAFE,,,,4.0
7,4,Priya,LOW,-1,,,10.0
7,5,Priya,LOW,-1,,,2.0
7,6,Priya,OUT,-1,,1,7.0
7,1,Helena,SAFE,,,,12.0
7,2,Helena,SAFE,,,,12.0
7,3,Helena,SAFE,,,,8.0
7,4,Helena,SAFE,,,,9.0
7,5,Helena,OUT,-1,,1,1.0
7,1,Michelle,SB,1,1,,6.0
7,2,Michelle,SAFE,,,,8.0
7,3,Michelle,SAFE,,,,5.0
7,4,Michelle,SAFE,,,,5.0
7,5,Michelle,OUT,-1,,1,7.0
7,1,Phil,SAFE,,,,8.0
7,2,Phil,SAFE,,,,3.0
7,3,Phil,SAFE,,,,10.0
7,4,Phil,OUT,-1,,1,6.0
7,1,Amelia,SAFE,,,,4.0
7,2,Amelia,LOW,-1,,,9.0
7,3,Amelia,OUT,-1,,1,11.0
7,1,Jamie,LOW,-1,,,13.0
7,2,Jamie,OUT,-1,,1,11.0
7,1,Dan,OUT,-1,,1,9.0
8,1,Peter,SB,1,1,,2.0
8,2,Peter,SAFE,,,,10.0
8,3,Peter,LOW,-1,,,4.0
8,4,Peter,HIGH,1,,,4.0
8,5,Peter,HIGH,1,,,1.0
8,6,Peter,SAFE,,,,1.0
